Date,Open,High,Low,Close

[[2008-10-22], [108.01,108.79,100.00,100.10]],
[[2008-10-23], [111.92,112.36,107.39,109.12]],
[[2008-10-24], [108.25,115.00,106.30,113.66]],
[[2008-10-25], [119.62,119.68,100.59,105.26]],
[[2008-10-26], [124.91,129.80,123.00,128.24]],
[[2008-10-27], [129.80,134.79,128.52,131.93]],
[[2008-10-28], [127.27,130.95,125.15,128.71]],
[[2008-10-29], [131.85,135.80,126.66,126.84]],
[[2008-10-30], [139.94,140.25,130.66,131.05]],
[[2008-10-31], [142.60,144.20,136.31,140.91]],
[[2008-11-01], [130.57,135.43,120.68,134.09]],
[[2008-11-02], [138.49,138.51,127.83,127.83]],
[[2008-11-03], [133.86,142.50,132.15,139.88]],
[[2008-11-04], [142.03,147.69,140.36,140.36]],
[[2008-11-05], [150.91,150.91,146.50,148.94]],
[[2008-11-06], [148.18,152.99,146.00,152.65]],
[[2008-11-07], [152.32,154.99,148.80,151.61]],
[[2008-11-08], [156.86,159.96,149.79,151.68]],
[[2008-11-09], [164.57,164.89,151.46,157.92]],
[[2008-11-10], [158.59,162.40,157.65,160.18]],
[[2008-11-11], [165.86,167.91,160.81,161.22]],
[[2008-11-12], [166.84,168.68,164.00,166.96]],
[[2008-11-13], [172.40,173.50,165.00,166.19]],
[[2008-11-14], [172.96,173.50,169.04,169.53]],
[[2008-11-15], [175.28,176.25,172.75,173.74]],
[[2008-11-16], [173.31,175.76,172.19,174.67]],
[[2008-11-17], [172.76,174.88,172.61,173.64]],
[[2008-11-18], [176.15,176.23,171.66,172.55]],
[[2008-11-19], [175.82,177.50,175.57,176.79]],
[[2008-11-20], [174.47,175.45,171.89,174.29]],
[[2008-11-21], [174.77,176.94,173.61,175.84]],
[[2008-11-22], [174.54,177.07,171.81,173.53]],
[[2008-11-23], [175.57,177.81,173.82,175.39]],
[[2008-11-24], [179.04,179.75,175.05,175.74]],
[[2008-11-25], [178.33,180.45,177.84,179.32]],
[[2008-11-26], [177.98,180.00,175.90,179.30]],
[[2008-11-27], [173.52,179.29,173.51,176.73]],
[[2008-11-28], [170.07,176.50,169.67,173.56]],
[[2008-11-29], [163.86,169.65,163.75,169.55]],
[[2008-11-30], [162.71,166.15,161.50,163.57]],
[[2008-12-01], [159.97,167.40,158.00,164.19]],
[[2008-12-02], [155.42,160.80,154.82,160.64]],
[[2008-12-03], [156.60,157.90,152.91,153.23]],
[[2008-12-04], [159.90,159.99,155.75,156.66]],
[[2008-12-05], [157.54,162.20,156.98,158.95]],
[[2008-12-06], [157.78,160.49,156.08,159.88]],
[[2008-12-07], [155.41,159.45,153.65,157.08]],
[[2008-12-08], [162.34,162.47,154.02,154.40]],
[[2008-12-09], [160.40,163.00,158.65,162.12]]



], [
], [0], [12-100,164.32,165]],.26,1]],58.45]],,159.03
2008-12-110,164.99,168.37,161.56,166.26
2008-12-120,149.00,162.76,146.53,162.02
2008-12-130,166.90,167.50,161.12,166.29
2008-12-140,168.52,169.65,165.00,165.15
2008-12-150,174.10,174.98,171.39,171.81
2008-12-160,170.20,172.93,168.60,172.81
2008-12-170,172.48,173.74,166.39,169.64
2008-12-180,179.24,179.30,173.08,173.88
2008-12-190,175.47,177.11,171.00,172.58
2008-12-200,174.92,177.34,171.37,176.63
2008-12-210,180.20,180.91,174.14,174.25
2008-12-220,175.40,179.70,172.74,179.55
2008-12-230,173.16,177.13,171.90,175.16
2008-12-240,169.59,172.17,165.75,170.12
2008-12-250,175.20,177.45,168.18,168.18
2008-12-260,164.23,174.72,164.00,174.68
2008-12-270,170.19,172.00,166.62,167.44
2008-12-280,166.51,170.57,164.15,170.09
2008-12-290,174.07,174.84,168.01,168.26
2008-12-300,174.61,178.83,173.88,177.39
2008-12-310,172.37,175.78,171.63,173.25
2009-01-010,174.74,175.88,171.56,173.16
2009-01-020,179.35,181.00,175.00,175.27
